x-axis,F1
Hertz,dBV
+124.8000E+00,-74.02299E+00
+125.2000E+00,-73.34101E+00
+125.6000E+00,-72.65903E+00
+126.0000E+00,-72.39785E+00
+126.4000E+00,-73.17968E+00
+126.8000E+00,-73.96150E+00
+127.2000E+00,-74.74332E+00
+127.6000E+00,-75.52515E+00
+128.0000E+00,-76.30697E+00
+128.4000E+00,-77.08880E+00
+128.8000E+00,-77.87062E+00
+129.2000E+00,-78.65244E+00
+129.6000E+00,-79.43427E+00
+130.0000E+00,-78.93862E+00
+130.4000E+00,-78.01881E+00
+130.8000E+00,-77.09900E+00
+131.2000E+00,-76.17920E+00
+131.6000E+00,-75.25939E+00
+132.0000E+00,-74.33958E+00
+132.4000E+00,-73.41977E+00
+132.8000E+00,-72.49996E+00
+133.2000E+00,-71.58016E+00
+133.6000E+00,-71.05505E+00
+134.0000E+00,-71.97972E+00
+134.4000E+00,-72.90439E+00
+134.8000E+00,-73.82906E+00
+135.2000E+00,-74.75374E+00
+135.6000E+00,-75.67841E+00
+136.0000E+00,-76.60308E+00
+136.4000E+00,-77.52775E+00
+136.8000E+00,-78.45242E+00
+137.2000E+00,-79.37710E+00
+137.6000E+00,-79.10617E+00
+138.0000E+00,-78.26547E+00
+138.4000E+00,-77.42477E+00
+138.8000E+00,-76.58406E+00
+139.2000E+00,-75.74336E+00
+139.6000E+00,-74.90265E+00
+140.0000E+00,-74.06195E+00
+140.4000E+00,-73.22125E+00
+140.8000E+00,-72.38054E+00
+141.2000E+00,-71.85388E+00
+141.6000E+00,-73.24831E+00
+142.0000E+00,-74.64274E+00
+142.4000E+00,-76.03718E+00
+142.8000E+00,-77.43161E+00
+143.2000E+00,-78.82604E+00
+143.6000E+00,-80.22047E+00
+144.0000E+00,-81.61490E+00
+144.4000E+00,-83.00934E+00
+144.8000E+00,-84.40377E+00
+145.2000E+00,-84.33017E+00
+145.6000E+00,-83.29311E+00
+146.0000E+00,-82.25605E+00
+146.4000E+00,-81.21900E+00
+146.8000E+00,-80.18194E+00
+147.2000E+00,-79.14489E+00
+147.6000E+00,-78.10783E+00
+148.0000E+00,-77.07077E+00
+148.4000E+00,-76.03372E+00
+148.8000E+00,-75.14582E+00
+149.2000E+00,-76.33443E+00
+149.6000E+00,-77.52303E+00
+150.0000E+00,-78.71164E+00
+150.4000E+00,-79.90025E+00
+150.8000E+00,-81.08886E+00
+151.2000E+00,-82.27747E+00
+151.6000E+00,-83.46607E+00
+152.0000E+00,-84.65468E+00
+152.4000E+00,-85.84329E+00
+152.8000E+00,-86.20749E+00
+153.2000E+00,-85.84141E+00
+153.6000E+00,-85.47533E+00
+154.0000E+00,-85.10925E+00
+154.4000E+00,-84.74317E+00
+154.8000E+00,-84.37709E+00
+155.2000E+00,-84.01101E+00
+155.6000E+00,-83.64493E+00
+156.0000E+00,-83.27885E+00
+156.4000E+00,-82.91277E+00
+156.8000E+00,-82.15093E+00
+157.2000E+00,-81.38651E+00
+157.6000E+00,-80.62210E+00
+158.0000E+00,-79.85768E+00
+158.4000E+00,-79.09327E+00
+158.8000E+00,-78.32885E+00
+159.2000E+00,-77.56443E+00
+159.6000E+00,-76.80002E+00
+160.0000E+00,-76.03560E+00
+160.4000E+00,-76.45670E+00
+160.8000E+00,-78.28761E+00
+161.2000E+00,-80.11852E+00
+161.6000E+00,-81.94943E+00
+162.0000E+00,-83.78035E+00
+162.4000E+00,-85.61126E+00
+162.8000E+00,-87.44217E+00
+163.2000E+00,-89.27308E+00
+163.6000E+00,-91.10399E+00
+164.0000E+00,-92.93491E+00
+164.4000E+00,-91.18339E+00
+164.8000E+00,-89.12054E+00
+165.2000E+00,-87.05769E+00
+165.6000E+00,-84.99484E+00
+166.0000E+00,-82.93200E+00
+166.4000E+00,-80.86915E+00
+166.8000E+00,-78.80630E+00
+167.2000E+00,-76.74345E+00
+167.6000E+00,-74.68060E+00
+168.0000E+00,-73.73697E+00
+168.4000E+00,-74.59406E+00
+168.8000E+00,-75.45115E+00
+169.2000E+00,-76.30823E+00
+169.6000E+00,-77.16532E+00
+170.0000E+00,-78.02241E+00
+170.4000E+00,-78.87950E+00
+170.8000E+00,-79.73659E+00
+171.2000E+00,-80.59367E+00
+171.6000E+00,-81.45076E+00
+172.0000E+00,-80.85042E+00
+172.4000E+00,-79.98590E+00
+172.8000E+00,-79.12139E+00
+173.2000E+00,-78.25688E+00
+173.6000E+00,-77.39237E+00
+174.0000E+00,-76.52786E+00
+174.4000E+00,-75.66334E+00
+174.8000E+00,-74.79883E+00
+175.2000E+00,-73.93432E+00
+175.6000E+00,-73.79266E+00
+176.0000E+00,-75.26133E+00
+176.4000E+00,-76.73001E+00
+176.8000E+00,-78.19868E+00
+177.2000E+00,-79.66735E+00
+177.6000E+00,-81.13602E+00
+178.0000E+00,-82.60469E+00
+178.4000E+00,-84.07337E+00
+178.8000E+00,-85.54204E+00
+179.2000E+00,-87.01071E+00
+179.6000E+00,-86.47083E+00
+180.0000E+00,-85.34136E+00
+180.4000E+00,-84.21189E+00
+180.8000E+00,-83.08242E+00
+181.2000E+00,-81.95294E+00
+181.6000E+00,-80.82347E+00
+182.0000E+00,-79.69400E+00
+182.4000E+00,-78.56453E+00
+182.8000E+00,-77.43506E+00
+183.2000E+00,-76.75256E+00
+183.6000E+00,-77.51441E+00
+184.0000E+00,-78.27627E+00
+184.4000E+00,-79.03813E+00
+184.8000E+00,-79.79998E+00
+185.2000E+00,-80.56184E+00
+185.6000E+00,-81.32369E+00
+186.0000E+00,-82.08555E+00
+186.4000E+00,-82.84741E+00
+186.8000E+00,-83.60926E+00
+187.2000E+00,-83.48371E+00
+187.6000E+00,-82.97708E+00
+188.0000E+00,-82.47046E+00
+188.4000E+00,-81.96384E+00
+188.8000E+00,-81.45721E+00
+189.2000E+00,-80.95059E+00
+189.6000E+00,-80.44396E+00
+190.0000E+00,-79.93734E+00
+190.4000E+00,-79.43072E+00
+190.8000E+00,-79.12061E+00
+191.2000E+00,-79.82077E+00
+191.6000E+00,-80.52093E+00
+192.0000E+00,-81.22109E+00
+192.4000E+00,-81.92125E+00
+192.8000E+00,-82.62141E+00
+193.2000E+00,-83.32157E+00
+193.6000E+00,-84.02173E+00
+194.0000E+00,-84.72189E+00
+194.4000E+00,-85.42205E+00
+194.8000E+00,-85.33571E+00
